ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.3285281,-2.6942147,0.4014,0.4589,0.0842,15.181,0.147,7.4,1.648E+00,14.766,0.305,3.6,4.506E-01,1,0,0000,BB,10,58380.35475632,862003101351026449,15.571,0.050,15.648,0.138,12.428,null,8.956,null,147303753,17.224,0.2470,15.997,0.1957,15.774,0.2957,32.063183,216.008206
86.3287520,-2.6796433,0.5190,0.4979,-0.0718,15.508,0.166,6.5,1.120E+00,14.847,0.465,2.3,8.228E-01,1,0,0000,BC,10,56922.24654752,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.077072,325.767473
86.3286756,-2.6796945,0.4281,0.4682,0.0756,15.208,0.145,7.5,4.028E-01,15.394,0.424,2.6,5.387E-01,1,0,0000,BC,10,57090.31988743,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.080943,325.176602
86.3288659,-2.6795639,0.3673,0.4764,-0.1191,15.041,0.143,7.6,9.973E-01,14.229,null,1.7,4.616E-01,1,0,0000,BU,5,59842.98410551,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.086865,326.659323
86.3285565,-2.6797755,0.3361,0.3718,-0.1107,15.109,0.116,9.3,1.457E+00,14.738,null,1.1,6.536E-01,1,0,0000,BU,10,56923.23316204,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.090320,324.251503
86.3289090,-2.6795339,0.5280,0.5389,-0.1502,15.471,0.160,6.8,1.561E+00,15.154,0.433,2.5,6.345E-01,1,0,0000,BC,10,58537.74570515,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.092462,326.996468
86.3288800,-2.6795511,0.5005,0.4693,-0.1564,15.256,0.145,7.5,1.006E+00,14.268,null,1.8,8.120E-01,1,0,0000,BU,10,57818.62526837,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.097565,326.780145
86.3285263,-2.6797947,0.4563,0.4057,-0.1682,15.104,0.137,7.9,8.158E-01,14.831,0.445,2.4,1.231E+00,1,0,0000,BC,10,59839.39725324,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.097927,324.022087
86.3287891,-2.6796110,0.3914,0.4139,-0.1296,15.325,0.130,8.4,1.277E+00,15.224,0.410,2.6,1.066E+00,1,0,0000,BC,10,58537.09144167,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.098637,326.081125
86.3290849,-2.6794134,0.4751,0.4827,0.0846,15.291,0.153,7.1,1.125E+00,15.648,0.531,2.0,5.789E-01,1,0,0000,BC,10,57814.04121176,862003101351027396,15.362,0.043,15.301,0.099,10.820,0.127,8.171,0.241,null,null,null,null,null,null,null,32.120875,328.364318
