ra,dec,sigra,sigdec,sigradec,source_id,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
86.4743655,-3.0572801,0.8963,1.0092,-0.3802,68857a077-003671,16.845,0.492,2.2,6.380E-01,14.596,0.380,2.9,9.631E-01,1,0,0000,CC,10,57449.40445609,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.646846,259.716601
86.4786443,-3.0485190,0.8783,0.9684,-0.3435,90885a072-002360,16.224,0.285,3.8,1.085E+00,14.875,null,0.7,8.033E-01,1,0,0000,BU,10,58170.70904294,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.649134,332.285125
86.4769800,-3.0496700,1.4969,1.4207,-0.6172,74944a162-003202,16.497,0.427,2.5,9.618E-01,15.257,null,-0.7,1.015E+00,1,0,0000,CU,10,57648.82780734,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.656617,318.187402
86.4743806,-3.0573905,0.9331,0.9552,-0.3800,46997a086-004636,16.680,0.459,2.4,9.040E-01,14.758,0.404,2.7,8.139E-01,1,0,0000,CC,10,56731.51838736,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.667089,258.942619
86.4905700,-3.0574445,0.2301,0.2146,-0.0619,79962a100-001209,14.067,0.082,13.2,6.476E-01,14.623,0.323,3.4,1.114E+00,1,0,0000,AB,10,57813.18969969,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.671863,101.438312
86.4753300,-3.0516900,1.7113,2.2365,0.6909,14431r096-006213,15.709,null,1.1,1.385E+00,15.091,null,1.3,7.511E-01,1,0,0000,UU,10,58901.71261019,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.675841,299.986612
86.4754937,-3.0514116,2.2689,2.2808,-0.8557,63821b188-007062,16.447,null,1.1,9.299E-01,14.800,null,1.5,1.514E+00,1,0,0000,UU,10,57284.33783297,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.689810,302.230024
86.4753628,-3.0516191,0.7217,0.8152,-0.2370,86168a157-005056,15.943,0.247,4.4,6.510E-01,15.255,null,-1.0,6.082E-01,1,0,0000,BU,10,58016.33072348,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.702602,300.526747
86.4752421,-3.0518248,1.1405,1.4887,-0.5243,74933b187-006102,16.362,0.384,2.8,1.943E+00,15.435,null,-0.3,5.418E-01,1,0,0000,CU,10,57648.50029321,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.712616,298.871477
86.4757700,-3.0509900,5.2327,6.4771,-2.6592,09742r180-005582,16.530,null,0.6,7.500E-01,15.281,null,-0.3,7.300E-01,1,0,0000,UU,10,58748.36408021,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.714451,305.729253
86.4770684,-3.0495694,0.6293,0.8009,-0.2578,68861a077-004065,15.707,0.208,5.2,9.707E-01,15.396,null,-0.9,5.270E-01,1,0,0000,BU,10,57449.53548709,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.718528,319.109595
86.4752405,-3.0598299,1.1636,1.2459,-0.7514,68861a077-006858,15.981,0.407,2.7,9.623E-01,15.050,null,-0.5,4.067E-01,1,0,0000,CU,10,57449.53548709,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.778076,240.922908
86.4742618,-3.0568824,1.0764,1.8846,0.3259,86160a157-002907,16.295,0.513,2.1,5.687E-01,15.294,null,0.1,7.566E-01,1,0,0000,CU,10,58016.06878951,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.794617,262.554742
86.4742052,-3.0553352,0.8857,0.9612,-0.1464,57902a107-003270,16.524,null,0.9,9.318E-01,14.361,0.304,3.6,7.041E-01,1,0,0000,UB,10,57090.12276832,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.795996,273.288420
86.4812268,-3.0476234,1.2066,1.2447,-0.4029,25669r031-005735,16.752,0.480,2.3,2.496E+00,15.188,0.536,2.0,7.092E-01,1,0,0000,CC,10,59269.14774089,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.814103,351.308878
86.4768616,-3.0497160,1.7687,1.8731,-0.9611,20838r180-003207,16.767,0.519,2.1,4.894E-01,15.091,null,0.5,4.876E-01,1,0,0000,CU,10,59111.21568578,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.820025,317.365702
86.4906141,-3.0574687,0.3437,0.3247,0.0898,68850b100-001344,14.947,0.118,9.2,1.879E+00,14.406,0.194,5.6,1.942E+00,1,0,0000,BB,10,57449.20771852,862003101351018423,14.401,0.031,14.533,0.063,11.808,null,8.719,null,147316442,15.630,0.0685,15.034,0.0911,14.715,0.1116,29.844574,101.541889
86.4743317,-3.0573983,0.9905,1.0695,-0.3625,68846a099-006468,16.720,0.417,2.6,8.205E-01,15.334,0.500,2.2,5.701E-01,1,0,0000,CC,10,57449.07668748,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.845001,258.954435
86.4763562,-3.0502060,0.8528,0.8833,-0.3961,03307r098-004282,16.051,0.257,4.2,9.005E-01,15.607,null,0.1,6.989E-01,1,0,0000,BU,10,58537.87648154,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.860338,312.502564
86.4742306,-3.0568432,0.8337,0.7199,-0.1609,14435r097-003340,16.366,0.336,3.2,6.608E-01,14.497,0.334,3.2,5.970E-01,1,0,0000,BB,10,58901.84351375,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.887946,262.850852
86.4741661,-3.0557125,1.1985,1.1425,-0.4879,74940a162-005062,16.332,0.359,3.0,1.683E+00,15.066,null,1.0,7.377E-01,1,0,0000,CU,10,57648.69677620,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.889544,270.672632
86.4744791,-3.0580892,1.8280,2.0051,-1.0087,86168a157-006550,16.032,null,1.6,1.010E+00,14.565,null,0.6,8.206E-01,1,0,0000,UU,10,58016.33072348,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.909718,254.077722
86.4743811,-3.0538910,2.2270,2.5675,0.9052,25575r097-004864,16.817,null,0.0,5.335E-01,14.492,null,1.6,7.187E-01,1,0,0000,UU,10,59266.07558256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.923008,283.348230
86.4784030,-3.0485624,0.3970,0.4543,0.0682,57894a107-001576,15.175,0.154,7.0,2.125E+00,15.431,0.501,2.2,1.136E+00,1,0,0000,BC,10,57089.86006997,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.926051,330.675529
86.4788176,-3.0632757,0.8586,0.8640,-0.2199,25571r097-004228,16.825,null,-2.6,1.277E+00,14.336,0.350,3.1,6.110E-01,1,0,0000,UB,10,59265.94480631,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.928028,206.098485
86.4760193,-3.0610535,1.2590,1.1531,0.5198,86168a157-005068,15.871,0.526,2.1,8.956E-01,15.561,null,-1.5,3.423E-01,1,0,0000,CU,10,58016.33072348,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.928997,230.897100
86.4742286,-3.0569353,0.9018,1.0261,-0.4055,31986r181-004382,16.187,0.299,3.6,1.063E+00,15.406,null,-0.7,5.079E-01,1,0,0000,BU,10,59475.59926579,862003101351019869,16.766,0.110,17.290,null,12.368,null,8.441,null,null,null,null,null,null,null,null,29.938139,262.222943
86.4743100,-3.0541800,1.7015,1.4923,-0.6369,31990r181-004315,15.527,null,1.8,3.869E-01,14.925,null,0.9,1.016E+00,1,0,0000,UU,10,59475.72991432,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.950661,281.298384
